review_id,place_id,author,rating,review_text,review_date,raw_date,likes,user_images,s3_images,profile_url,profile_picture,s3_profile_picture,owner_responses,created_date,last_modified,last_seen_session,last_changed_session,is_deleted,content_hash,engagement_hash,row_version,sub_ratings
Ci9DQUlRQUNvZENodHljRjlvT2xwT2JsVldiVGw2VVhoeVRFOXZTblZ5V0RNMk5XYxAB,0x103b921776d4cd3f:0,Afam Eghosa,0.0,"My stay was really enjoyable from start to finish. The atmosphere was calm, classy, and welcoming the moment I arrived, and the staff were friendly, helpful, and respectful throughout my stay.

Check-in was smooth and stress-free, and I immediately noticed how clean and beautiful the hotel looked. My room was spacious, neat, and very comfortable. The bed was soft, the lighting felt warm and relaxing, and everything in the room was arranged thoughtfully. Housekeeping also did a great job keeping the room fresh and spotless every day.",2026-05-23T15:03:14+00:00,"a month ago on
Google",0,[],,https://www.google.com/maps/contrib/104762567028803781620/reviews?hl=en,https://lh3.googleusercontent.com/a-/ALV-UjVHhygtv3CWQNWporf_vdzGp-czPcmKRH79AvMPanyrML1b9mI=w36-h36-p-rp-mo-br100,,{},2026-06-22T15:03:14.359339+00:00,2026-06-22T15:03:14.359339+00:00,1,1,0,9e1842e263ec7784973d27ba4457612ca1107e0badaeecd3ffcd0591f9c8387b,3d3bc3d06f185da393e78bc15e715efd29d420d0d7f06c873ef812cfaee116b4,1,{}
Ci9DQUlRQUNvZENodHljRjlvT21oaVJuRk5lRkV4VG1GWlEyb3lUMjFVVHpZdGMwRRAB,0x103b921776d4cd3f:0,judith jolayemi,0.0,It is always a great experience here. Food was great. Everything was good-the ambience- the views and all. Im giving 3-star for their service because there was one of their managers who was so rash and rude to us during the buffet. Not such a good front.,2026-03-24T15:03:14+00:00,"3 months ago on
Google",0,"[""https://lh3.googleusercontent.com/grass-cs/ANxoTn1QDKo4zCrKC9q34zWcwFlY54MiCUiM7NTu30Ctm4XaRuIMfePQJsyIMNzuAQsc2Pbr1RLewBYzhQka0FZqgj2w8oZzcWrWCBJ8zjCGE1PMmR2szfcpV9xduM4_E9qI2NZvWDwkBkSVQjEt=w300-h450-p-k-no"", ""https://lh3.googleusercontent.com/grass-cs/ANxoTn2vPYqYwW3iiXmlm08-fzx7Mku_QSQSI3BQiGc1E1ojESE71ebbco7ATZLlq7YSI-mg2taGNkq5Z7_iZtXL77tyZyPqFP4lQTfOuuomlsQE6G-DXTd_qqx3iTxWMDDA6FjeIO_0pLKBDmkM=w300-h450-p-k-no""]",,https://www.google.com/maps/contrib/110867153293766703656/reviews?hl=en,https://lh3.googleusercontent.com/a-/ALV-UjUGHwTrmMFNiFTKAQsyllZD7r9V37x5yqPpJVuQFdSq_fpiuAuR=w36-h36-p-rp-mo-ba12-br100,,{},2026-06-22T15:03:14.617760+00:00,2026-06-22T15:03:14.617760+00:00,1,1,0,96d7da4636511f85c447fdd635e39e723a02d952f4b76fdeec43a40ea5c2fff5,3d3bc3d06f185da393e78bc15e715efd29d420d0d7f06c873ef812cfaee116b4,1,{}
Ci9DQUlRQUNvZENodHljRjlvT21wRVYya3pOV0pqY1U1eVdIcFVXWGhaWTIxSmNXYxAB,0x103b921776d4cd3f:0,Don Miller,0.0,"Very nice.  And whe. You compare it to outside the compound...almost heaven.   But armed guards use mirrors to check the cab for bombs and your luggage is xrayed and you pass through a metal detector.   If they're trying to make me feel safe,  it ain't working...",2026-02-22T15:03:14+00:00,"4 months ago on
Google",0,"[""https://lh3.googleusercontent.com/grass-cs/ANxoTn29Be29R5s0-sPR-HejWVO_kyTuOu0HGuekvu2h8r2-AszoTmoH1s9OznH8htaQgzC1MYvDiwN1BV_rNunDLC6sXu5OxHfVgNDwpB1orOPF_obakyV9oP-ky8PhDzspmtqIog53-8IWc3Xt=w300-h450-p-k-no"", ""https://lh3.googleusercontent.com/grass-cs/ANxoTn0j_1Ju0DrKwE7tG31KyahL0S6HxhX0367Dtd6lSsAXw42OuOFm2T7trR89jQVo0MKdnF_7o9sGiX0oaZ58Y7MQtA-CzQ_iUbmA9_f_bV9FL-xbxSbF2KVhfuKOrYVKsoF2j1X5lFBqIGw4=w300-h225-p-k-no"", ""https://lh3.googleusercontent.com/grass-cs/ANxoTn3lOXPUldpS5uLg9PVjJ23xaXZRLx2adAKvHmVdIK4S-JR7TYGrRxJ_YcHXCGnLFu4nvry6N9HDGtQwEJV_NsR-PsRC_nVW7kh6-9eEhaB8EQ8CtA6XqlzT14_0rPFgNscvWardgq37Romy=w300-h225-p-k-no""]",,https://www.google.com/maps/contrib/102173539310568564627/reviews?hl=en,https://lh3.googleusercontent.com/a-/ALV-UjXmMa1jfRO-UOMa01em6OxIGK2lv-Ceq7RPU0flh179nJBsEqsXHw=w36-h36-p-rp-mo-ba12-br100,,{},2026-06-22T15:03:14.793259+00:00,2026-06-22T15:03:14.793259+00:00,1,1,0,593d755d6bd27a6cd708acd9b67a53c8768561367ee418b3ec92515f7a8c93ca,3d3bc3d06f185da393e78bc15e715efd29d420d0d7f06c873ef812cfaee116b4,1,{}
Ci9DQUlRQUNvZENodHljRjlvT2pWdlUwTmhWalpZWjJ4RWFVYzFZbXBFYjBOM2JHYxAB,0x103b921776d4cd3f:0,Temitope Ifegbesan,0.0,"Beautiful place. I went there for an event and we used one of the lovely conference rooms.
I was impressed by the information session the hotel staff gave us before we started our event, including showing us the exits in case there was an emergency, etc.
The food too was incredible. It was a buffet and it was topnotch.",2026-05-25T15:03:14+00:00,"4 weeks ago on
Google",0,[],,https://www.google.com/maps/contrib/110686505778088934698/reviews?hl=en,https://lh3.googleusercontent.com/a-/ALV-UjU1U1DUC5m1ophh7WR0RImNRzz__6hOMMfAu8JST0LATfDRbwIjbQ=w36-h36-p-rp-mo-ba12-br100,,{},2026-06-22T15:03:14.959840+00:00,2026-06-22T15:03:14.959840+00:00,1,1,0,5383a6fa1aeb402c24c6cd16e558ecce2367d35bf7772a495ccd50d95189cc7d,3d3bc3d06f185da393e78bc15e715efd29d420d0d7f06c873ef812cfaee116b4,1,{}
Ci9DQUlRQUNvZENodHljRjlvT2xaWGNFVmpXWGN6ZVZkV2NXY3dWSFJKZWs5M1UyYxAB,0x103b921776d4cd3f:0,Olu O,0.0,"It’s a rather beautiful property; quite busy and popular too in the Ikeja, Lagos environs.
The lobby cum reception was bustling with guests checking in and out .
Went to the Grill restaurant out back by the pool area. It’s casual dining.
The service was excellent with Patrick, food was okay. My steak was cooked perfectly to the temperature I liked but lacked a bit of seasoning so was quite bland unless when eaten with the black peppercorn sauce.
The Cobb Salad… hmmm - perfection. I’ll go again just to have that.
Will review when I do stay at the hotel. For now, I only dined in.
Overall, experience was good - there was some live music that evening. I’m told it happens Wednesdays- Fridays.",2025-12-24T15:03:15+00:00,"6 months ago on
Google",0,"[""https://lh3.googleusercontent.com/grass-cs/ANxoTn0f5X41DDMI9nWFr5Vx0g1xc6S-GYIhSDjKqrbVgs6vZBoYb4AsUYC8Nxb1tKRvFYAoh3FiIWnHzotDtPEd-DVngEgGa23YXeFTRLxEGg0wIgYI6sqKijcWX93zBjPZTUGcqg_sv47y-jJD=w300-h225-p-k-no"", ""https://lh3.googleusercontent.com/grass-cs/ANxoTn2bQhhtcdALqadU1n2GldCXHDFo7NkDFNbyqTL3hwqtVTM3sLeLhqgGYL4mjN38G-FnJZPeV_WpBi9A3xTHO9kGjGrenHajqiFrYHZkrzSiArjhwB1vJxUoUB1jWRWYwBIK6uklDAGhm6o=w300-h225-p-k-no"", ""https://lh3.googleusercontent.com/grass-cs/ANxoTn1z2zSqon4mGdxNvG0ISTylL-TrzmsJmmr3N0r4Mybtv8jX-FXcbaY2lGM_G8rLtrduU1TETmG3wFfHmEMXpbUIjTaPQ-ZOmk4tUIBKuAuYrvijdu3lt1Fi61TnkMCmcfZUNm6ehsct9uyV=w300-h225-p-k-no"", ""https://lh3.googleusercontent.com/grass-cs/ANxoTn0SzUwM5vTVVUwXvfTYGSy8JMVAmrdKmoYOpK0OirPzYz0O4KhlV0jXW7NE03EYII3J58o_bchpHsdzedcvEw5EPW3xRi0q435NRzDY8_O7YzdhvVm3q0SeO244yWFvICI1xfZAps1f8CHy=w300-h225-p-k-no""]",,https://www.google.com/maps/contrib/111340209420837035422/reviews?hl=en,https://lh3.googleusercontent.com/a-/ALV-UjUrqMOx4KGVITGyO2KQtPyNxE2ds5byo48CbcaNw1Wtltrf25Q=w36-h36-p-rp-mo-br100,,{},2026-06-22T15:03:15.123500+00:00,2026-06-22T15:03:15.123500+00:00,1,1,0,5b46f486b787b0e296ccff6e26236717f9ae437aad5a3cc6571b3e7b7eeb843e,3d3bc3d06f185da393e78bc15e715efd29d420d0d7f06c873ef812cfaee116b4,1,{}
Ci9DQUlRQUNvZENodHljRjlvT2t0WkxVNWlhV2t0YlZOUmFXdGZibU55VjFabVUyYxAB,0x103b921776d4cd3f:0,Kenny,0.0,"My sister made a reservation for me yesterday, but unfortunately I was unable to make it as I was feeling under the weather. She decided to still go ahead for a day staycation on her own, and while trying to request an earlier check in time, the reservation was mistakenly cancelled instead of modified, which resulted in a cancellation fee due to the miscommunication.

The Lagos Marriott Hotel Ikeja has long been one of my sister’s favorite places not only to frequent, but also to recommend to guests who patronize her restaurant, City Diner, a successful fine dining restaurant in Maryland Mende conveniently located less than ten minutes from the hotel. Given her diverse yet very elite international clientele, the hotel consistently remains at the top of her recommendations, as the level of service, caliber of guests, and overall experience closely aligns with what her own guests expect and appreciate.

When I later called to speak on her behalf, the level of professionalism and support we received was truly exceptional. From the General Manager, Mr. Femi Bakare, to his reservations team, Olamide, who was incredibly kind and empathetic, as well as Teju, everyone went above and beyond to resolve the situation with care and understanding.

In my opinion, this speaks volumes about Mr. Bakare’s leadership and his forward facing approach to customer service, which clearly reflects throughout his team. The hotel was already one of our favorites, but the professionalism displayed by this outstanding team, combined with its proximity to the international airport, places the Lagos Marriott Hotel Ikeja firmly at the top of the list of the best hotels in Lagos, especially on the mainland. It is a hotel I will always choose to stay at and confidently recommend. Bravo.",2026-02-22T15:03:15+00:00,"4 months ago on
Google",0,[],,https://www.google.com/maps/contrib/102095001753868834205/reviews?hl=en,https://lh3.googleusercontent.com/a-/ALV-UjXMtF2qeGlUl7EiP1ctvZds9KOISjlzeCS81F6Caa-re66Hk3L8=w36-h36-p-rp-mo-ba12-br100,,{},2026-06-22T15:03:15.371808+00:00,2026-06-22T15:03:15.371808+00:00,1,1,0,30c76f67228894c3be18d3d53e1e49cf3a78feae19f931f5de0a65414bf58bca,3d3bc3d06f185da393e78bc15e715efd29d420d0d7f06c873ef812cfaee116b4,1,{}
Ci9DQUlRQUNvZENodHljRjlvT21kbE9UQmFYelJtYWpoVGFsbzBPVWhQVUVwcFNuYxAB,0x103b921776d4cd3f:0,Temi Olaniyan,0.0,"I stayed at the Marriott at the end of 2025 for about five nights, using a combination of points and cash (cash for 3 nights) at a rate exceeding $300 per night. The hotel was clean, well-maintained, and the amenities were good overall.
However, the breakfast experience was deeply concerning. Due to a demanding schedule, I did not have the opportunity to eat breakfast during the first three days of my stay. On the fourth morning—my very first attempt to have breakfast—I was turned away and informed that I was not eligible because part of my stay was paid with points.
At this price point, being denied a basic amenity felt unacceptable, regardless of policy. Around the world, loyalty programs are designed to reward guests for redeeming points—not to diminish their experience. While a manager later invited me to return for breakfast, the damage had already been done. It did not feel welcoming, and it did not reflect the standard of hospitality one expects from a global brand.
Breakfast is a fundamental part of the guest experience. Loyalty should be valued, not treated as a limitation. I share this as firm but constructive feedback—Marriott can and should do better",2026-02-22T15:03:15+00:00,"4 months ago on
Google",0,[],,https://www.google.com/maps/contrib/115128657123488845573/reviews?hl=en,https://lh3.googleusercontent.com/a-/ALV-UjWxnF88YYnRI2eD3Ej352MeZOpbR_bC2mG5G2tPbSKh1rIBVSq6=w36-h36-p-rp-mo-br100,,{},2026-06-22T15:03:15.558719+00:00,2026-06-22T15:03:15.558719+00:00,1,1,0,9f070b3b5f8833f3cbadc92342fd0b51aa0a5dbc5f43577d34d73c8b421448f8,3d3bc3d06f185da393e78bc15e715efd29d420d0d7f06c873ef812cfaee116b4,1,{}
Ci9DQUlRQUNvZENodHljRjlvT2tScmJuRmxTWFpRY2taQ1NsRkZTRzl3YkdWdFRXYxAB,0x103b921776d4cd3f:0,Fantasia Alexander,0.0,"My boyfriend and I stayed for 1 week in March to celebrate our anniversary. A smiling Raphael greeted us at the front desk before we even reached the desk. His supervisor, Catherine, then joined him to check us in. There were no rooms ready upon arrival, but we only waited 40 minutes before getting into our room since we arrived at 10 am. The bellman, whose name I did not get, helped us in our room and was honest by splitting the tip and taking it down to Raphael as I asked. We booked a king standard room, and it was the best room that I have stayed in so far in Lagos. The modern decor and cleanliness of the room were a game-changer in Lagos. They offer both US/UK plugs, wifi and streaming services. Along with daily housekeeping, which was great as well. The food & beverage team everywhere was amazing. We were able to try every resturant but the highlight of them all was Koriko breakfast buffet. David was often my server and made sure to help me as I am disabled. Peace and Faith was also a joy to speak with as well. Peter, the food and beverage manager, also went above and beyond for me at the poolside grill Azure. I especially enjoy the 24/7 room service and cafe in the lobby. The ham and cheese croissant and coffee were my go-to. We were able to walk in at the spa and have a couple's facial for both of us. Ebere and Faith did our facials which left us feeling refreshed. I can say the chemicals were too strong for my face and it burn but healed in two days. I would recommend sensitive products for guests. On my last day, I had my first issue on my last day as I got a rude call from the front desk around 530pm about my bill, which I already settled that morning. I did not remember her name, but she was a supervisor with a bob haircut. Also, the reservation Mr. Peter set up for us was not accomedated and the service was not up to par from the day staff. They took 40 minutes to greet us and never came back to check on us after our food arrived. But overall, the previous days outweighed the last day. The staff will greet you whenever they see you and help you out whenever they see me. A big shout out to Ms. Catherine and Rapheal who spoke to me whenever they saw me. Another shoutout to Mr.Peter, who checked on me through my last day and post-stay as well. I will be returning in a few weeks, and I cannot wait to come back for another week or two.",2026-04-23T15:03:15+00:00,"2 months ago on
Google",0,[],,https://www.google.com/maps/contrib/115793805670010496068/reviews?hl=en,https://lh3.googleusercontent.com/a/ACg8ocKjHgJvZXQ0dlas_YRz83lFlQ7LXVB9ORHzYTIJujU2tsfhU_E=w36-h36-p-rp-mo-ba12-br100,,{},2026-06-22T15:03:15.764207+00:00,2026-06-22T15:03:15.764207+00:00,1,1,0,aaa89555d76346a9aea03ed493f0a4065b091a44b4b4d7458c4354ec73a84665,3d3bc3d06f185da393e78bc15e715efd29d420d0d7f06c873ef812cfaee116b4,1,{}
Ci9DQUlRQUNvZENodHljRjlvT2kxdVVIVjRTMFJWWW5KelRIZDRhM0pKU2xWQ00zYxAB,0x103b921776d4cd3f:0,ServiceCritic,0.0,"Lunch buffet was good, though the spread wasn’t so much. Waiters where out of site in the restaurant, and used plates where littered on my table, I had to call someone’s attention to it before it was clear. It should be so.

The restaurant staff cluster and gist loudly,thereby disturbing the peace and quiet of customers.",2026-01-23T15:03:15+00:00,"5 months ago on
Google",0,"[""https://lh3.googleusercontent.com/grass-cs/ANxoTn3SAKr82g80jYc1FLABZfKf0ijLE9kCFA2sbzneXJCVrPqe-k1or-pXiFOU4e77zkHefaOwHZmZAKPVoOq16BBXeuAnI_v43lAqm4aBv7fxGiEzEJ92nmq9lwfYvKiPYBnIe5gLdz_Nm8dn=w300-h450-p-k-no"", ""https://lh3.googleusercontent.com/grass-cs/ANxoTn2sXnqQt7jLMTkPqz26Mz9Q74P58Mk04CkrnIHNW3tT8WidKyfSepIi_8w4SVNt9cDu421EbIZqL5MnEfnsUxuRj2q1s05zbVX1wW-GG2sHYUHU_RMPaF08eFtsPOBX3OGKqPT9VdrgdPnO=w300-h450-p-k-no""]",,https://www.google.com/maps/contrib/109035510297573098529/reviews?hl=en,https://lh3.googleusercontent.com/a-/ALV-UjWOUg5n5QwzE4UbkoCz2AFLNSJ7NX-LwVtG0NfoVMSIcC3W8dw=w36-h36-p-rp-mo-ba12-br100,,{},2026-06-22T15:03:16.056655+00:00,2026-06-22T15:03:16.056655+00:00,1,1,0,1443d5c0ad382d5db5a622b9afe78d2852649f3120e8bb6f2cf624aebbe44dfd,3d3bc3d06f185da393e78bc15e715efd29d420d0d7f06c873ef812cfaee116b4,1,{}
Ci9DQUlRQUNvZENodHljRjlvT2pSSFNWaDJibmhtYTNwclNXZG1hakI0TkZjdFZWRRAB,0x103b921776d4cd3f:0,Scarlet,0.0,"An amazing, warm, and welcoming hotel right in the heart of Ikeja ✨
Their restaurants deliver a premium experience every time — perfect for breakfast, lunch, or dinner dates 💕 The customer service is top-notch, and the atmosphere is both beautiful and inviting, with a designated area for smokers.
The poolside is a whole vibe on its own, offering a stunning view both during the day and at night. Definitely a place worth experiencing.",2026-04-23T15:03:16+00:00,"2 months ago on
Google",0,"[""https://lh3.googleusercontent.com/grass-cs/ANxoTn2mpBP9CLwg1lg9zPkbMtTs1jSvTPG1bdVeb8cK4OQswitjzDgS8y9xs3LjpJ5WSkdfaYmZpSg2-77HTukCuBozsvCs7AAXH8j7WopWI41QMToD1I5wFTAuDxpBOClJdsfPyAh8T7YQhLJa=w300-h225-p-k-no"", ""https://lh3.googleusercontent.com/grass-cs/ANxoTn1wJhlyUAdi15PMpvfKZEonCDNhm01AmP1EMH2qb4lvdDXlCUNM6d7AYNxTMELa2qdLy7c2MpJ7ZbYezGXj3Oc_hdrWKt55loTqQaDGXCsoQc3Z7Raaa_0jN81ICWqbl1HYQ5YXsDq7wLQ=w300-h225-p-k-no"", ""https://lh3.googleusercontent.com/grass-cs/ANxoTn1u4s7WwLKQtC3RjCwtGXerD722Qlk1-1TeB8-cugEAAj9a0rwk9PW4AvlAw5x_qTFPKe-LOhSr1M7rrhLKQs42nfE8yBNmazWtwgAL3XAFphb4_zDHSUIyn7pznRDfG2mr9_Xx5gS3RN8I=w300-h225-p-k-no"", ""https://lh3.googleusercontent.com/grass-cs/ANxoTn3IW2LjgdPwFf4YSwYd8AFG2SURlw0X8jyvfQmoKG-YVS3Jmf6BCXPdMgD9T8-_Eg-E74EqO9kMjPD35UicheiXs4kH3Crqv9nkAc_TBGVdZlndjjQFE787oq_R3GWboqppWW-_96ZG71Mw=w300-h225-p-k-no""]",,https://www.google.com/maps/contrib/116820994451449071589/reviews?hl=en,https://lh3.googleusercontent.com/a-/ALV-UjUDyi3gwBOO-TEpMqaxOuIQZm0stKsmgsVGxCV18WNK1ZdLVGY=w36-h36-p-rp-mo-ba12-br100,,{},2026-06-22T15:03:16.268008+00:00,2026-06-22T15:03:16.268008+00:00,1,1,0,3e287af48011165fb6c78f92be57aa4293987c6a631786f20f79a7ff625c5120,3d3bc3d06f185da393e78bc15e715efd29d420d0d7f06c873ef812cfaee116b4,1,{}
